pid,scenario,treatment,switching_point,inconsistent_choices,relevant,tediousness,test,pchosen,optionchosen,extra,scenariochosen,totaltask,vchosen,gender,age,total,time_welcome,time_instructions_pre,time_encryption_task,time_questionnaire1,time_task_preparation,time_questionnaire2,time_encryption_main_task,time_summary,session_date,reservation_wage
571,Scenario2,NARROW,8,0,23,7,NA,5.75,1,15,2,30,4,Female,26,6,9,16,158,12,24,7,2466,43,2020-01-21T16:31:00Z,2
572,Scenario1,LOW,4,0,24,7,2,6,2,30,2,30,6,Male,28,8,10,37,116,17,39,6,657,18,2020-01-21T16:31:00Z,1
572,Scenario2,LOW,8,0,24,7,2,6,2,30,2,30,6,Male,28,8,10,37,116,17,39,6,657,18,2020-01-21T16:31:00Z,2
573,Scenario1,BROAD,12,0,25,10,1,6.25,1,15,2,30,6,Female,43,8,3,5,95,8,16,5,1080,20,2020-01-21T16:31:00Z,3
573,Scenario2,BROAD,12,0,25,10,1,6.25,1,15,2,30,6,Female,43,8,3,5,95,8,16,5,1080,20,2020-01-21T16:31:00Z,3
574,Scenario1,PARTIAL,11,0,26,7,NA,6.5,1,15,2,30,4,Female,25,6,12,30,98,11,30,10,1264,16,2020-01-21T16:31:00Z,2.75
574,Scenario2,PARTIAL,12,0,26,7,NA,6.5,1,15,2,30,4,Female,25,6,12,30,98,11,30,10,1264,16,2020-01-21T16:31:00Z,3
575,Scenario1,PARTIAL,14,0,27,4,1,6.75,1,15,2,30,4,Male,42,6,40,24,137,9,17,7,1754,11,2020-01-21T16:31:00Z,3.5
575,Scenario2,PARTIAL,16,0,27,4,1,6.75,1,15,2,30,4,Male,42,6,40,24,137,9,17,7,1754,11,2020-01-21T16:31:00Z,4
576,Scenario1,PARTIAL,8,0,28,7,NA,7,2,30,2,45,7,Male,45,9,23,62,120,10,37,7,1986,16,2020-01-21T16:31:00Z,2
576,Scenario2,PARTIAL,8,0,28,7,NA,7,2,30,2,45,7,Male,45,9,23,62,120,10,37,7,1986,16,2020-01-21T16:31:00Z,2
577,Scenario1,NARROW,4,1,29,10,1,7.25,2,30,2,45,7.25,Male,32,9.25,47,34,130,15,21,12,1579,28,2020-01-21T16:31:00Z,1
577,Scenario2,NARROW,12,0,29,10,1,7.25,2,30,2,45,7.25,Male,32,9.25,47,34,130,15,21,12,1579,28,2020-01-21T16:31:00Z,3
578,Scenario1,LOW,4,0,30,8,NA,7.5,2,30,2,30,7.5,Female,27,9.5,16,43,70,10,46,6,935,15,2020-01-21T16:31:00Z,1
578,Scenario2,LOW,2,0,30,8,NA,7.5,2,30,2,30,7.5,Female,27,9.5,16,43,70,10,46,6,935,15,2020-01-21T16:31:00Z,0.5
579,Scenario1,BROAD,17,0,31,10,NA,7.75,1,15,2,30,6,Male,26,8,57,57,117,6,33,5,1080,17,2020-01-21T16:31:00Z,4.25
579,Scenario2,BROAD,17,0,31,10,NA,7.75,1,15,2,30,6,Male,26,8,57,57,117,6,33,5,1080,17,2020-01-21T16:31:00Z,4.25
580,Scenario1,PARTIAL,16,0,32,10,1,8,2,30,2,45,8,Male,51,10,330,28,184,10,33,8,2066,19,2020-01-21T16:31:00Z,4
580,Scenario2,PARTIAL,16,0,32,10,1,8,2,30,2,45,8,Male,51,10,330,28,184,10,33,8,2066,19,2020-01-21T16:31:00Z,4
581,Scenario1,PARTIAL,8,0,1,8,2,4.25,1,0,1,15,4,Male,36,6,28,22,222,12,32,8,1048,29,2020-01-21T16:31:00Z,2
581,Scenario2,PARTIAL,15,0,1,8,2,4.25,1,0,1,15,4,Male,36,6,28,22,222,12,32,8,1048,29,2020-01-21T16:31:00Z,3.75
582,Scenario1,PARTIAL,17,0,2,10,1,4.5,1,0,1,15,4,Other,34,6,3,3,316,6,9,6,852,48,2020-01-21T16:31:00Z,4.25
582,Scenario2,PARTIAL,6,0,2,10,1,4.5,1,0,1,15,4,Other,34,6,3,3,316,6,9,6,852,48,2020-01-21T16:31:00Z,1.5
583,Scenario1,NARROW,8,0,3,1,1,4.75,1,0,1,15,4,Male,28,6,24,25,91,9,14,18,542,59,2020-01-21T16:31:00Z,2
583,Scenario2,NARROW,16,0,3,1,1,4.75,1,0,1,15,4,Male,28,6,24,25,91,9,14,18,542,59,2020-01-21T16:31:00Z,4
584,Scenario1,LOW,2,5,4,10,2,5,1,0,1,0,4,Female,49,6,14,8,120,5,6,14,4,21,2020-01-21T16:31:00Z,0.5
584,Scenario2,LOW,1,5,4,10,2,5,1,0,1,0,4,Female,49,6,14,8,120,5,6,14,4,21,2020-01-21T16:31:00Z,0.25
585,Scenario1,BROAD,2,6,5,10,2,5.25,1,0,1,15,6,Male,35,8,39,34,254,6,10,10,1784,46,2020-01-21T16:31:00Z,0.5
585,Scenario2,BROAD,2,5,5,10,2,5.25,1,0,1,15,6,Male,35,8,39,34,254,6,10,10,1784,46,2020-01-21T16:31:00Z,0.5
586,Scenario1,PARTIAL,2,4,6,9,2,5.5,2,15,1,30,5.5,Male,38,7.5,32,50,97,5,16,16,2162,70,2020-01-21T16:31:00Z,0.5
586,Scenario2,PARTIAL,2,1,6,9,2,5.5,2,15,1,30,5.5,Male,38,7.5,32,50,97,5,16,16,2162,70,2020-01-21T16:31:00Z,0.5
587,Scenario1,PARTIAL,2,6,7,9,1,5.75,2,15,1,30,5.75,Male,32,7.75,17,90,251,6,45,15,1734,39,2020-01-21T16:31:00Z,0.5
587,Scenario2,PARTIAL,2,6,7,9,1,5.75,2,15,1,30,5.75,Male,32,7.75,17,90,251,6,45,15,1734,39,2020-01-21T16:31:00Z,0.5
588,Scenario1,PARTIAL,1,0,8,10,2,6,2,15,1,30,6,NA,NA,NA,192,1718,160,10,51,NA,NA,35,2020-01-21T16:31:00Z,0.25
588,Scenario2,PARTIAL,1,0,8,10,2,6,2,15,1,30,6,NA,NA,NA,192,1718,160,10,51,NA,NA,35,2020-01-21T16:31:00Z,0.25
589,Scenario1,NARROW,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-21T16:31:00Z,NA
589,Scenario2,NARROW,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-21T16:31:00Z,NA
590,Scenario1,LOW,3,7,10,9,1,6.5,1,0,1,0,4,Male,36,6,30,8,778,39,9,6,57,26,2020-01-21T16:31:00Z,0.75
590,Scenario2,LOW,2,7,10,9,1,6.5,1,0,1,0,4,Male,36,6,30,8,778,39,9,6,57,26,2020-01-21T16:31:00Z,0.5
591,Scenario1,BROAD,6,0,11,7,1,6.75,2,15,1,30,8.75,Female,32,10.75,8,40,186,13,19,7,2038,38,2020-01-21T16:31:00Z,1.5
591,Scenario2,BROAD,6,0,11,7,1,6.75,2,15,1,30,8.75,Female,32,10.75,8,40,186,13,19,7,2038,38,2020-01-21T16:31:00Z,1.5
592,Scenario1,PARTIAL,8,0,12,9,1,7,2,15,1,30,7,Male,29,9,7,36,173,6,20,5,774,28,2020-01-21T16:31:00Z,2
592,Scenario2,PARTIAL,16,0,12,9,1,7,2,15,1,30,7,Male,29,9,7,36,173,6,20,5,774,28,2020-01-21T16:31:00Z,4
593,Scenario1,PARTIAL,17,0,13,10,1,7.25,1,0,1,15,4,Female,27,6,3,41,204,4,10,5,582,10,2020-01-21T16:31:00Z,4.25
593,Scenario2,PARTIAL,10,0,13,10,1,7.25,1,0,1,15,4,Female,27,6,3,41,204,4,10,5,582,10,2020-01-21T16:31:00Z,2.5
594,Scenario1,PARTIAL,8,0,14,9,NA,7.5,2,15,1,30,7.5,Female,55,9.5,156,43,123,13,37,9,1507,43,2020-01-21T16:31:00Z,2
594,Scenario2,PARTIAL,11,0,14,9,NA,7.5,2,15,1,30,7.5,Female,55,9.5,156,43,123,13,37,9,1507,43,2020-01-21T16:31:00Z,2.75
595,Scenario1,LOW,1,3,16,8,1,8,2,15,1,15,8,Female,56,10,49,13,108,7,9,7,493,35,2020-01-21T16:31:00Z,0.25
595,Scenario2,LOW,4,3,16,8,1,8,2,15,1,15,8,Female,56,10,49,13,108,7,9,7,493,35,2020-01-21T16:31:00Z,1
596,Scenario1,BROAD,NA,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,2020-01-21T16:31:00Z,NA
596,Scenario2,BROAD,NA,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,2020-01-21T16:31:00Z,NA
597,Scenario1,PARTIAL,5,0,18,6,2,4.5,1,15,2,30,4,NA,NA,NA,106,41,165,11,27,NA,NA,19,2020-01-21T16:31:00Z,1.25
597,Scenario2,PARTIAL,8,0,18,6,2,4.5,1,15,2,30,4,NA,NA,NA,106,41,165,11,27,NA,NA,19,2020-01-21T16:31:00Z,2
598,Scenario1,PARTIAL,10,0,19,7,NA,4.75,1,15,2,30,4,Female,29,6,16,445,79,8,16,5,809,99,2020-01-21T16:31:00Z,2.5
598,Scenario2,PARTIAL,8,0,19,7,NA,4.75,1,15,2,30,4,Female,29,6,16,445,79,8,16,5,809,99,2020-01-21T16:31:00Z,2
599,Scenario1,PARTIAL,8,0,20,9,1,5,1,15,2,30,4,Other,34,6,3,47,112,7,19,6,833,9,2020-01-21T16:31:00Z,2
599,Scenario2,PARTIAL,12,0,20,9,1,5,1,15,2,30,4,Other,34,6,3,47,112,7,19,6,833,9,2020-01-21T16:31:00Z,3
600,Scenario1,NARROW,NA,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,3,NA,NA,NA,NA,NA,NA,2020-01-21T16:31:00Z,NA
600,Scenario2,NARROW,NA,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,3,NA,NA,NA,NA,NA,NA,2020-01-21T16:31:00Z,NA
601,Scenario1,LOW,17,0,22,7,NA,5.5,1,15,2,15,4,Male,31,6,33,34,261,17,39,7,649,28,2020-01-21T16:31:00Z,4.25
601,Scenario2,LOW,17,0,22,7,NA,5.5,1,15,2,15,4,Male,31,6,33,34,261,17,39,7,649,28,2020-01-21T16:31:00Z,4.25
602,Scenario1,BROAD,NA,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,31,NA,NA,NA,NA,NA,NA,2020-01-21T16:31:00Z,NA
602,Scenario2,BROAD,NA,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,31,NA,NA,NA,NA,NA,NA,2020-01-21T16:31:00Z,NA
603,Scenario1,PARTIAL,17,0,24,6,1,6,1,15,2,30,4,Female,46,6,20,40,74,8,12,7,879,13,2020-01-21T16:31:00Z,4.25
603,Scenario2,PARTIAL,17,0,24,6,1,6,1,15,2,30,4,Female,46,6,20,40,74,8,12,7,879,13,2020-01-21T16:31:00Z,4.25
604,Scenario1,PARTIAL,16,0,25,7,1,6.25,2,30,2,45,6.25,NA,NA,NA,4,19,180,8,30,NA,NA,15,2020-01-21T16:31:00Z,4
604,Scenario2,PARTIAL,8,0,25,7,1,6.25,2,30,2,45,6.25,NA,NA,NA,4,19,180,8,30,NA,NA,15,2020-01-21T16:31:00Z,2
605,Scenario1,NARROW,16,0,1,7,1,4.25,1,0,1,15,4,Female,26,6,11,42,154,13,29,14,678,33,2020-01-22T08:39:00Z,4
605,Scenario2,NARROW,17,0,1,7,1,4.25,1,0,1,15,4,Female,26,6,11,42,154,13,29,14,678,33,2020-01-22T08:39:00Z,4.25
606,Scenario1,LOW,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896,5,NA,NA,NA,NA,NA,NA,2020-01-22T08:39:00Z,NA
606,Scenario2,LOW,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,896,5,NA,NA,NA,NA,NA,NA,2020-01-22T08:39:00Z,NA
607,Scenario1,BROAD,2,4,3,9,2,4.75,2,15,1,30,6.75,Female,28,8.75,25,41,330,9,7,13,2932,30,2020-01-22T08:39:00Z,0.5
607,Scenario2,BROAD,6,0,3,9,2,4.75,2,15,1,30,6.75,Female,28,8.75,25,41,330,9,7,13,2932,30,2020-01-22T08:39:00Z,1.5
608,Scenario1,PARTIAL,12,0,4,10,NA,5,1,0,1,15,4,Male,47,6,10,53,124,11,24,6,466,25,2020-01-22T08:39:00Z,3
608,Scenario2,PARTIAL,8,0,4,10,NA,5,1,0,1,15,4,Male,47,6,10,53,124,11,24,6,466,25,2020-01-22T08:39:00Z,2
609,Scenario1,PARTIAL,1,0,5,10,2,5.25,2,15,1,30,5.25,Male,48,7.25,14,36,177,5,12,7,938,31,2020-01-22T08:39:00Z,0.25
609,Scenario2,PARTIAL,1,0,5,10,2,5.25,2,15,1,30,5.25,Male,48,7.25,14,36,177,5,12,7,938,31,2020-01-22T08:39:00Z,0.25
610,Scenario1,PARTIAL,1,0,6,6,2,5.5,2,15,1,30,5.5,Male,27,7.5,7,19,147,9,14,11,1807,36,2020-01-22T08:39:00Z,0.25
610,Scenario2,PARTIAL,1,0,6,6,2,5.5,2,15,1,30,5.5,Male,27,7.5,7,19,147,9,14,11,1807,36,2020-01-22T08:39:00Z,0.25
611,Scenario1,NARROW,8,0,7,4,1,5.75,1,0,1,15,4,Female,37,6,46,41,84,10,31,5,472,15,2020-01-22T08:39:00Z,2
611,Scenario2,NARROW,17,0,7,4,1,5.75,1,0,1,15,4,Female,37,6,46,41,84,10,31,5,472,15,2020-01-22T08:39:00Z,4.25
612,Scenario1,LOW,12,0,8,6,NA,6,1,0,1,0,4,Female,46,6,10,90,263,11,26,6,4,20,2020-01-22T08:39:00Z,3
612,Scenario2,LOW,16,0,8,6,NA,6,1,0,1,0,4,Female,46,6,10,90,263,11,26,6,4,20,2020-01-22T08:39:00Z,4
613,Scenario1,BROAD,17,0,9,10,1,6.25,1,0,1,15,6,Male,38,8,30,828,136,10,40,8,477,18,2020-01-22T08:39:00Z,4.25
613,Scenario2,BROAD,17,0,9,10,1,6.25,1,0,1,15,6,Male,38,8,30,828,136,10,40,8,477,18,2020-01-22T08:39:00Z,4.25
614,Scenario1,PARTIAL,10,0,10,10,1,6.5,2,15,1,30,6.5,Male,31,8.5,41,30,108,7,21,4,917,20,2020-01-22T08:39:00Z,2.5
614,Scenario2,PARTIAL,14,0,10,10,1,6.5,2,15,1,30,6.5,Male,31,8.5,41,30,108,7,21,4,917,20,2020-01-22T08:39:00Z,3.5
615,Scenario1,PARTIAL,2,4,11,7,2,6.75,2,15,1,30,6.75,Male,30,8.75,46,21,161,39,13,9,3028,59,2020-01-22T08:39:00Z,0.5
615,Scenario2,PARTIAL,1,4,11,7,2,6.75,2,15,1,30,6.75,Male,30,8.75,46,21,161,39,13,9,3028,59,2020-01-22T08:39:00Z,0.25
616,Scenario1,PARTIAL,13,0,12,10,1,7,1,0,1,15,4,Female,51,6,588,9,105,7,23,6,401,15,2020-01-22T08:39:00Z,3.25
616,Scenario2,PARTIAL,8,0,12,10,1,7,1,0,1,15,4,Female,51,6,588,9,105,7,23,6,401,15,2020-01-22T08:39:00Z,2
617,Scenario1,NARROW,1,0,13,8,NA,7.25,2,15,1,30,7.25,Male,23,9.25,7,37,117,12,56,6,1217,12,2020-01-22T08:39:00Z,0.25
617,Scenario2,NARROW,1,0,13,8,NA,7.25,2,15,1,30,7.25,Male,23,9.25,7,37,117,12,56,6,1217,12,2020-01-22T08:39:00Z,0.25
618,Scenario1,LOW,12,0,14,10,2,7.5,2,15,1,15,7.5,Male,51,9.5,6,35,169,9,32,7,942,17,2020-01-22T08:39:00Z,3
618,Scenario2,LOW,8,0,14,10,2,7.5,2,15,1,15,7.5,Male,51,9.5,6,35,169,9,32,7,942,17,2020-01-22T08:39:00Z,2
619,Scenario1,BROAD,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2020-01-22T08:39:00Z,NA
619,Scenario2,BROAD,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2020-01-22T08:39:00Z,NA
620,Scenario1,PARTIAL,4,0,16,4,1,8,2,15,1,30,8,Female,29,10,91,394,108,26,79,11,952,28,2020-01-22T08:39:00Z,1
620,Scenario2,PARTIAL,10,0,16,4,1,8,2,15,1,30,8,Female,29,10,91,394,108,26,79,11,952,28,2020-01-22T08:39:00Z,2.5
621,Scenario1,PARTIAL,4,0,17,10,NA,4.25,1,15,2,30,4,Male,40,6,6,8,77,6,12,6,785,14,2020-01-22T08:39:00Z,1
621,Scenario2,PARTIAL,4,0,17,10,NA,4.25,1,15,2,30,4,Male,40,6,6,8,77,6,12,6,785,14,2020-01-22T08:39:00Z,1
622,Scenario1,PARTIAL,13,0,18,8,NA,4.5,1,15,2,30,4,NA,NA,NA,27,43,326,9,9,NA,NA,40,2020-01-22T08:39:00Z,3.25
622,Scenario2,PARTIAL,7,0,18,8,NA,4.5,1,15,2,30,4,NA,NA,NA,27,43,326,9,9,NA,NA,40,2020-01-22T08:39:00Z,1.75
623,Scenario1,NARROW,12,0,19,9,1,4.75,1,15,2,30,4,Male,23,6,22,175,135,9,32,9,1299,35,2020-01-22T08:39:00Z,3
623,Scenario2,NARROW,12,0,19,9,1,4.75,1,15,2,30,4,Male,23,6,22,175,135,9,32,9,1299,35,2020-01-22T08:39:00Z,3
624,Scenario1,LOW,6,0,20,7,NA,5,1,15,2,15,4,Male,49,6,61,24,119,21,36,6,580,22,2020-01-22T08:39:00Z,1.5
624,Scenario2,LOW,6,0,20,7,NA,5,1,15,2,15,4,Male,49,6,61,24,119,21,36,6,580,22,2020-01-22T08:39:00Z,1.5
625,Scenario1,BROAD,17,0,21,10,NA,5.25,1,15,2,30,6,Female,51,8,8,50,147,11,35,26,1228,19,2020-01-22T08:39:00Z,4.25
625,Scenario2,BROAD,17,0,21,10,NA,5.25,1,15,2,30,6,Female,51,8,8,50,147,11,35,26,1228,19,2020-01-22T08:39:00Z,4.25
626,Scenario1,PARTIAL,2,5,22,9,2,5.5,1,15,2,30,4,Male,28,6,19,156,346,7,13,12,1878,29,2020-01-22T08:39:00Z,0.5
626,Scenario2,PARTIAL,17,0,22,9,2,5.5,1,15,2,30,4,Male,28,6,19,156,346,7,13,12,1878,29,2020-01-22T08:39:00Z,4.25
627,Scenario1,PARTIAL,NA,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-22T08:39:00Z,NA
627,Scenario2,PARTIAL,NA,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-01-22T08:39:00Z,NA
628,Scenario1,PARTIAL,2,5,24,9,1,6,2,30,2,45,6,Male,28,8,10,4,618,8,14,19,1972,19,2020-01-22T08:39:00Z,0.5
628,Scenario2,PARTIAL,2,7,24,9,1,6,2,30,2,45,6,Male,28,8,10,4,618,8,14,19,1972,19,2020-01-22T08:39:00Z,0.5
629,Scenario1,NARROW,NA,0,25,NA,NA,NA,NA,NA,NA,NA,NA,Male,33,2,NA,NA,NA,NA,NA,12,7,NA,2020-01-22T08:39:00Z,NA
629,Scenario2,NARROW,NA,0,25,NA,NA,NA,NA,NA,NA,NA,NA,Male,33,2,NA,NA,NA,NA,NA,12,7,NA,2020-01-22T08:39:00Z,NA
630,Scenario1,LOW,2,4,26,7,2,6.5,2,30,2,30,6.5,Female,27,8.5,5,19,219,28,150,10,1914,284,2020-01-22T08:39:00Z,0.5
630,Scenario2,LOW,1,3,26,7,2,6.5,2,30,2,30,6.5,Female,27,8.5,5,19,219,28,150,10,1914,284,2020-01-22T08:39:00Z,0.25
631,Scenario1,BROAD,12,0,27,9,NA,6.75,1,15,2,30,6,Female,46,8,19,124,114,16,28,6,1415,30,2020-01-22T08:39:00Z,3
631,Scenario2,BROAD,16,0,27,9,NA,6.75,1,15,2,30,6,Female,46,8,19,124,114,16,28,6,1415,30,2020-01-22T08:39:00Z,4
632,Scenario1,PARTIAL,NA,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2020-01-22T08:39:00Z,NA
632,Scenario2,PARTIAL,NA,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2020-01-22T08:39:00Z,NA
633,Scenario1,PARTIAL,6,0,29,8,1,7.25,2,30,2,45,7.25,Male,29,9.25,23,512,120,13,13,5,1444,13,2020-01-22T08:39:00Z,1.5
633,Scenario2,PARTIAL,5,0,29,8,1,7.25,2,30,2,45,7.25,Male,29,9.25,23,512,120,13,13,5,1444,13,2020-01-22T08:39:00Z,1.25
634,Scenario1,PARTIAL,17,0,30,4,2,7.5,1,15,2,30,4,Male,27,6,199,6,162,9,14,8,1283,24,2020-01-22T08:39:00Z,4.25
634,Scenario2,PARTIAL,17,0,30,4,2,7.5,1,15,2,30,4,Male,27,6,199,6,162,9,14,8,1283,24,2020-01-22T08:39:00Z,4.25
635,Scenario1,NARROW,17,0,1,6,1,4.25,1,0,1,15,4,Male,38,6,6,11,129,8,44,5,475,20,2020-01-28T16:17:00Z,4.25
635,Scenario2,NARROW,17,0,1,6,1,4.25,1,0,1,15,4,Male,38,6,6,11,129,8,44,5,475,20,2020-01-28T16:17:00Z,4.25
636,Scenario1,LOW,2,0,2,9,2,4.5,2,15,1,15,4.5,Male,31,6.5,2,3,357,4,26,7,773,11,2020-01-28T16:17:00Z,0.5
636,Scenario2,LOW,1,0,2,9,2,4.5,2,15,1,15,4.5,Male,31,6.5,2,3,357,4,26,7,773,11,2020-01-28T16:17:00Z,0.25
637,Scenario1,BROAD,13,0,3,7,NA,4.75,1,0,1,15,6,Male,26,8,4,18,122,9,24,5,858,15,2020-01-28T16:17:00Z,3.25
637,Scenario2,BROAD,17,0,3,7,NA,4.75,1,0,1,15,6,Male,26,8,4,18,122,9,24,5,858,15,2020-01-28T16:17:00Z,4.25
638,Scenario1,PARTIAL,4,0,4,4,NA,5,2,15,1,30,5,Female,46,7,44,23,85,12,25,8,817,32,2020-01-28T16:17:00Z,1
638,Scenario2,PARTIAL,2,0,4,4,NA,5,2,15,1,30,5,Female,46,7,44,23,85,12,25,8,817,32,2020-01-28T16:17:00Z,0.5
639,Scenario1,PARTIAL,17,0,5,10,1,5.25,1,0,1,15,4,Female,58,6,5,16,373,10,29,7,1023,16,2020-01-28T16:17:00Z,4.25
639,Scenario2,PARTIAL,17,0,5,10,1,5.25,1,0,1,15,4,Female,58,6,5,16,373,10,29,7,1023,16,2020-01-28T16:17:00Z,4.25
640,Scenario1,PARTIAL,2,5,6,9,1,5.5,2,15,1,30,5.5,Female,30,7.5,17,8,313,9,9,9,1483,41,2020-01-28T16:17:00Z,0.5
640,Scenario2,PARTIAL,2,6,6,9,1,5.5,2,15,1,30,5.5,Female,30,7.5,17,8,313,9,9,9,1483,41,2020-01-28T16:17:00Z,0.5
641,Scenario1,NARROW,1,6,7,2,2,5.75,2,15,1,30,5.75,Male,25,7.75,10,106,157,23,17,5,1102,24,2020-01-28T16:17:00Z,0.25
641,Scenario2,NARROW,1,6,7,2,2,5.75,2,15,1,30,5.75,Male,25,7.75,10,106,157,23,17,5,1102,24,2020-01-28T16:17:00Z,0.25
642,Scenario1,LOW,17,0,8,8,1,6,1,0,1,0,4,Male,28,6,33,629,176,8,9,10,7,36,2020-01-28T16:17:00Z,4.25
642,Scenario2,LOW,17,0,8,8,1,6,1,0,1,0,4,Male,28,6,33,629,176,8,9,10,7,36,2020-01-28T16:17:00Z,4.25
643,Scenario1,BROAD,6,0,9,6,1,6.25,2,15,1,30,8.25,Male,29,10.25,19,48,149,17,42,8,959,28,2020-01-28T16:17:00Z,1.5
643,Scenario2,BROAD,6,0,9,6,1,6.25,2,15,1,30,8.25,Male,29,10.25,19,48,149,17,42,8,959,28,2020-01-28T16:17:00Z,1.5
644,Scenario1,PARTIAL,4,0,10,1,2,6.5,2,15,1,30,6.5,Male,28,8.5,17,34,278,10,31,6,923,16,2020-01-28T16:17:00Z,1
644,Scenario2,PARTIAL,4,0,10,1,2,6.5,2,15,1,30,6.5,Male,28,8.5,17,34,278,10,31,6,923,16,2020-01-28T16:17:00Z,1
645,Scenario1,PARTIAL,14,0,11,8,1,6.75,1,0,1,15,4,Male,29,6,8,36,223,10,43,6,849,16,2020-01-28T16:17:00Z,3.5
645,Scenario2,PARTIAL,11,0,11,8,1,6.75,1,0,1,15,4,Male,29,6,8,36,223,10,43,6,849,16,2020-01-28T16:17:00Z,2.75
646,Scenario1,PARTIAL,4,3,12,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,693,6,5,NA,NA,167,2020-01-28T16:17:00Z,1
646,Scenario2,PARTIAL,4,4,12,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,693,6,5,NA,NA,167,2020-01-28T16:17:00Z,1
647,Scenario1,NARROW,17,0,13,5,NA,7.25,1,0,1,15,4,Female,37,6,25,38,197,14,37,11,932,47,2020-01-28T16:17:00Z,4.25
647,Scenario2,NARROW,17,0,13,5,NA,7.25,1,0,1,15,4,Female,37,6,25,38,197,14,37,11,932,47,2020-01-28T16:17:00Z,4.25
648,Scenario1,LOW,1,0,14,3,2,7.5,2,15,1,15,7.5,NA,NA,NA,136,161,178,23,82,NA,NA,68,2020-01-28T16:17:00Z,0.25
648,Scenario2,LOW,1,1,14,3,2,7.5,2,15,1,15,7.5,NA,NA,NA,136,161,178,23,82,NA,NA,68,2020-01-28T16:17:00Z,0.25
649,Scenario1,BROAD,4,0,15,8,2,7.75,2,15,1,30,9.75,Female,53,11.75,48,14,105,11,33,14,897,35,2020-01-28T16:17:00Z,1
649,Scenario2,BROAD,6,0,15,8,2,7.75,2,15,1,30,9.75,Female,53,11.75,48,14,105,11,33,14,897,35,2020-01-28T16:17:00Z,1.5
650,Scenario1,PARTIAL,4,2,16,10,1,8,1,0,1,15,4,Male,30,6,61,6,227,6,25,9,1355,50,2020-01-28T16:17:00Z,1
650,Scenario2,PARTIAL,17,0,16,10,1,8,1,0,1,15,4,Male,30,6,61,6,227,6,25,9,1355,50,2020-01-28T16:17:00Z,4.25
651,Scenario1,PARTIAL,12,0,17,9,2,4.25,1,15,2,30,4,Male,32,6,4,4,147,6,18,8,1295,12,2020-01-28T16:17:00Z,3
651,Scenario2,PARTIAL,4,0,17,9,2,4.25,1,15,2,30,4,Male,32,6,4,4,147,6,18,8,1295,12,2020-01-28T16:17:00Z,1
652,Scenario1,PARTIAL,7,2,18,8,1,4.5,1,15,2,30,4,Male,30,6,8,6,163,7,5,7,1481,28,2020-01-28T16:17:00Z,1.75
652,Scenario2,PARTIAL,6,3,18,8,1,4.5,1,15,2,30,4,Male,30,6,8,6,163,7,5,7,1481,28,2020-01-28T16:17:00Z,1.5
653,Scenario1,NARROW,8,0,19,5,1,4.75,1,15,2,30,4,Female,63,6,820,83,248,15,48,12,2724,31,2020-01-28T16:17:00Z,2
653,Scenario2,NARROW,17,0,19,5,1,4.75,1,15,2,30,4,Female,63,6,820,83,248,15,48,12,2724,31,2020-01-28T16:17:00Z,4.25
654,Scenario1,LOW,1,0,20,6,2,5,2,30,2,30,5,Male,40,7,50,73,117,15,39,9,1349,46,2020-01-28T16:17:00Z,0.25
654,Scenario2,LOW,1,0,20,6,2,5,2,30,2,30,5,Male,40,7,50,73,117,15,39,9,1349,46,2020-01-28T16:17:00Z,0.25
655,Scenario1,BROAD,5,2,21,6,NA,5.25,2,30,2,45,7.25,NA,NA,NA,28,56,187,9,24,NA,NA,44,2020-01-28T16:17:00Z,1.25
